iter 5650/160000: loss=0.21634 grad_norm=2.5315 seconds_per_update=0.230 peak_gpu_gb=4.34
iter 5700/160000: loss=0.32425 grad_norm=1.3395 seconds_per_update=0.229 peak_gpu_gb=4.34
iter 5750/160000: loss=0.40866 grad_norm=2.3519 seconds_per_update=0.229 peak_gpu_gb=4.34
iter 5800/160000: loss=0.27638 grad_norm=6.5676 seconds_per_update=0.229 peak_gpu_gb=4.34
iter 5850/160000: loss=0.41954 grad_norm=10.7940 seconds_per_update=0.229 peak_gpu_gb=4.34
iter 5900/160000: loss=0.22907 grad_norm=3.2854 seconds_per_update=0.229 peak_gpu_gb=4.34
iter 5950/160000: loss=0.26860 grad_norm=2.7479 seconds_per_update=0.228 peak_gpu_gb=4.34
iter 6000/160000: loss=0.28737 grad_norm=1.4113 seconds_per_update=0.228 peak_gpu_gb=4.34
iter 6050/160000: loss=0.31129 grad_norm=2.5758 seconds_per_update=0.228 peak_gpu_gb=4.34
iter 6100/160000: loss=0.20193 grad_norm=1.2281 seconds_per_update=0.228 peak_gpu_gb=4.34
iter 6150/160000: loss=0.45417 grad_norm=2.1534 seconds_per_update=0.228 peak_gpu_gb=4.34
iter 6200/160000: loss=0.36827 grad_norm=2.2350 seconds_per_update=0.227 peak_gpu_gb=4.34
iter 6250/160000: loss=0.13456 grad_norm=5.2857 seconds_per_update=0.227 peak_gpu_gb=4.34
iter 6300/160000: loss=0.32833 grad_norm=1.2500 seconds_per_update=0.227 peak_gpu_gb=4.34
iter 6350/160000: loss=0.31112 grad_norm=4.3208 seconds_per_update=0.227 peak_gpu_gb=4.34
iter 6400/160000: loss=0.41285 grad_norm=2.4868 seconds_per_update=0.227 peak_gpu_gb=4.34
iter 6450/160000: loss=0.51702 grad_norm=12.5496 seconds_per_update=0.227 peak_gpu_gb=4.34
iter 6500/160000: loss=0.30834 grad_norm=1.7862 seconds_per_update=0.226 peak_gpu_gb=4.34
iter 6550/160000: loss=0.13919 grad_norm=1.8821 seconds_per_update=0.226 peak_gpu_gb=4.34
iter 6600/160000: loss=0.46067 grad_norm=6.5055 seconds_per_update=0.226 peak_gpu_gb=4.34
iter 6650/160000: loss=0.11480 grad_norm=1.9067 seconds_per_update=0.226 peak_gpu_gb=4.34
